rec,iso,regional,unspecified
"Africa, regional",NA,TRUE,FALSE
"Central Asia, regional",NA,TRUE,FALSE
States Ex-Yugoslavia unspecified,NA,FALSE,TRUE
"Bilateral, unspecified",NA,FALSE,TRUE
"South of Sahara, regional",NA,TRUE,FALSE
"Asia, regional",NA,TRUE,FALSE
"America, regional",NA,TRUE,FALSE
"Europe, regional",NA,TRUE,FALSE
"North of Sahara, regional",NA,TRUE,FALSE
"Oceania, regional",NA,TRUE,FALSE
"South America, regional",NA,TRUE,FALSE
"Western Africa, regional",NA,TRUE,FALSE
"Caribbean & Central America, regional",NA,TRUE,FALSE
"Caribbean, regional",NA,TRUE,FALSE
"Eastern Africa, regional",NA,TRUE,FALSE
"Middle East, regional",NA,TRUE,FALSE
"South Asia, regional",NA,TRUE,FALSE
"Far East Asia, regional",NA,TRUE,FALSE
"South & Central Asia, regional",NA,TRUE,FALSE
"Central America, regional",NA,TRUE,FALSE
"Southern Africa, regional",NA,TRUE,FALSE
"Melanesia, regional",NA,TRUE,FALSE
Multilateral Unallocated,NA,FALSE,TRUE
Bilateral Unallocated,NA,FALSE,TRUE
Regional,NA,TRUE,FALSE
