GeoAreaName,2019,2020,2021,2022,2023
Small island developing States (SIDS),19,19,18,22,24
Landlocked developing countries (LLDCs),16,17,22,23,25
Least Developed Countries (LDCs),19,19,26,29,32
Australia and New Zealand,2,2,2,2,2
Oceania (exc. Australia and New Zealand),9,9,9,11,11
Sub-Saharan Africa,27,27,36,36,39
Northern Africa and Western Asia,17,18,18,16,17
Eastern and South-Eastern Asia,12,13,15,15,15
Central and Southern Asia,8,8,9,9,9
Latin America and the Caribbean,15,16,16,18,21
Europe and Northern America,42,42,39,42,45
World,132,135,144,149,159
